Country,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP/Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual,Binary Happiness Score
Norway,1,"7,5370","7,5944","7,4796","1,6165","1,5335","0,7967","0,6354","0,3620","0,3160","2,2770","1,0000"
Denmark,2,"7,5220","7,5817","7,4623","1,4824","1,5511","0,7926","0,6260","0,3553","0,4008","2,3137","1,0000"
Iceland,3,"7,5040","7,6220","7,3860","1,4806","1,6106","0,8336","0,6272","0,4755","0,1535","2,3227","1,0000"
Switzerland,4,"7,4940","7,5618","7,4262","1,5650","1,5169","0,8581","0,6201","0,2905","0,3670","2,2767","1,0000"
Finland,5,"7,4690","7,5275","7,4105","1,4436","1,5402","0,8092","0,6180","0,2455","0,3826","2,4302","1,0000"
Netherlands,6,"7,3770","7,4274","7,3266","1,5039","1,4289","0,8107","0,5854","0,4705","0,2827","2,2948","1,0000"
Canada,7,"7,3160","7,3844","7,2476","1,4792","1,4813","0,8346","0,6111","0,4355","0,2874","2,1873","1,0000"
New Zealand,8,"7,3140","7,3795","7,2485","1,4057","1,5482","0,8168","0,6141","0,5000","0,3828","2,0465","1,0000"
Sweden,9,"7,2840","7,3441","7,2239","1,4944","1,4782","0,8309","0,6129","0,3854","0,3844","2,0975","1,0000"
Australia,10,"7,2840","7,3567","7,2113","1,4844","1,5100","0,8439","0,6016","0,4777","0,3012","2,0652","1,0000"
Israel,11,"7,2130","7,2799","7,1461","1,3754","1,3763","0,8384","0,4060","0,3301","0,0852","2,8018","1,0000"
Costa Rica,12,"7,0790","7,1681","6,9899","1,1097","1,4164","0,7595","0,5801","0,2146","0,1001","2,8986","1,0000"
Austria,13,"7,0060","7,0707","6,9413","1,4871","1,4599","0,8153","0,5678","0,3165","0,2211","2,1385","1,0000"
United States,14,"6,9930","7,0747","6,9113","1,5463","1,4199","0,7743","0,5057","0,3926","0,1356","2,2181","1,0000"
Ireland,15,"6,9770","7,0434","6,9106","1,5357","1,5582","0,8098","0,5731","0,4279","0,2984","1,7739","1,0000"
Germany,16,"6,9510","7,0054","6,8966","1,4879","1,4725","0,7990","0,5625","0,3363","0,2767","2,0158","1,0000"
